Language,Key,Original Text (FR)
"ar","verifyemailpage.vrification_russie","Vérification Réussie !"
"ar","verifyemailpage.erreur_lors_vrification","Erreur lors de la vérification"
"ar","verifyemailpage.retour_page_daccueil","Retour à la page d'accueil"
"ar","oeuvredetailpage.erreur","Erreur"
"ar","oeuvredetailpage.retour_aux_uvres","Retour aux œuvres"
"ar","oeuvredetailpage.facebook","Facebook"
"ar","oeuvredetailpage.twitter","Twitter"
"ar","oeuvredetailpage.copier_lien","Copier le lien"
"ar","oeuvredetailpage.description","Description"
"ar","oeuvredetailpage.auteur_uvres","Auteur & Œuvres"
"ar","oeuvredetailpage.commentaires","Commentaires"
"ar","oeuvredetailpage.propos","À propos"
"ar","oeuvredetailpage.dtails_techniques","Détails techniques"
"ar","oeuvredetailpage.classification","Classification"
"ar","oeuvredetailpage.catgories","Catégories"
"ar","oeuvredetailpage.tags","Tags"
"ar","oeuvredetailpage.quipe_cration","Équipe de création"
"ar","oeuvredetailpage.dcouvrir_dautres_uvres","Découvrir d'autres œuvres"
"ar","oeuvredetailpage.aucune_autre_uvre","Aucune autre œuvre de"
"ar","oeuvredetailpage.disponible","disponible."
"ar","oeuvredetailpage.autres_uvres_dart","Autres œuvres d'art de la collection"
"ar","oeuvredetailpage.rpondre","Répondre"
"ar","oeuvredetailpage.aucun_commentaire_pour","Aucun commentaire pour le moment. Soyez le premier à commenter !"
"ar","oeuvredetailpage.actions","Actions"
"ar","oeuvredetailpage.recommander","Recommander"
"ar","oeuvredetailpage.crire_avis","Écrire un avis"
"ar","oeuvredetailpage.lire_extrait","Lire un extrait"
"ar","oeuvredetailpage.prochains_vnements","Prochains événements"
"ar","oeuvredetailpage.voir_tous_les","Voir tous les événements"
"ar","oeuvredetailpage.statistiques","Statistiques"
"ar","oeuvredetailpage.vues","Vues"
"ar","oeuvredetailpage.avis","Avis"
"ar","oeuvredetailpage.note_moyenne","Note moyenne"
"ar","oeuvredetailpage.partagez_votre_avis","Partagez votre avis sur cette œuvre"
"ar","oeuvredetailpage.votre_commentaire","Votre commentaire"
"ar","oeuvredetailpage.placeholder_crivez_votre_commentaire","Écrivez votre commentaire ici..."
"ar","oeuvredetailpage.annuler","Annuler"
"ar","oeuvredetailpage.envoi","Envoi..."
"ar","oeuvredetailpage.envoyer","Envoyer"
"ar","notfound.oops_page_not","Oops! Page not found"
"ar","notfound.return_home","Return to Home"
"ar","eventdetailspage.erreur","Erreur"
"ar","eventdetailspage.retour_aux_vnements","Retour aux événements"
"ar","eventdetailspage.date","Date"
"ar","eventdetailspage.lieu","Lieu"
"ar","eventdetailspage.tarif","Tarif"
"ar","eventdetailspage.organisateur","Organisateur"
"ar","eventdetailspage.description","Description"
"ar","eventdetailspage.programme","Programme"
"ar","eventdetailspage.commentaires","Commentaires"
"ar","eventdetailspage.minimum_requis","Âge minimum requis :"
"ar","eventdetailspage.ans","ans"
"ar","eventdetailspage.programme_dtaill_sera","Le programme détaillé sera bientôt disponible."
"ar","eventdetailspage.rpondre","Répondre"
"ar","eventdetailspage.aucun_commentaire_pour","Aucun commentaire pour le moment. Soyez le premier à commenter !"
"ar","eventdetailspage.ajouter_commentaire","Ajouter un commentaire"
